$ps ax

  PID TTY      STAT   TIME COMMAND
 1093 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1098 ?        S      0:05 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 1100 ?        Sl     0:21 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1104 ?        Ssl   48:14 /usr/bin/pulseaudio --daemonize=no
 1105 ?        SNsl   0:01 /usr/lib/rtkit/rtkit-daemon
 1114 tty2     Sl     3:34 ibus-daemon --xim --panel disable
 1118 tty2     Sl     0:00 /usr/lib/ibus/ibus-dconf
 1119 tty2     Sl     0:21 /usr/lib/ibus/ibus-extension-gtk3
 1122 tty2     Sl     1:55 /usr/lib/ibus/ibus-x11 --kill-daemon
 1126 ?        Sl     0:00 /usr/lib/ibus/ibus-portal
 1135 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
 1140 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
 1144 ?        Ssl    0:00 /usr/lib/evolution/evolution-source-registry
 1150 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-daemon
 1151 ?        Ssl    0:03 /usr/lib/upower/upowerd
 1160 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 1175 ?        Ssl    0:03 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 1182 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 1191 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-identity-service
 1196 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 1200 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 1205 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 1210 tty2     Sl+    0:03 /usr/lib/gnome-settings-daemon/gsd-power
 1211 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
